iter	Passed	Remaining
864	59730	9322
865	59801	9253
866	59865	9183
867	59933	9114
868	60004	9045
869	60067	8975
870	60138	8906
871	60209	8838
872	60279	8769
873	60348	8700
874	60414	8630
875	60484	8561
876	60556	8493
877	60622	8423
878	60694	8354
879	60758	8285
880	60830	8216
881	60903	8148
882	60969	8078
883	61040	8009
884	61109	7940
885	61182	7872
886	61256	7803
887	61333	7735
888	61420	7668
889	61498	7600
890	61573	7532
891	61639	7463
892	61709	7394
893	61776	7324
894	61844	7255
895	61906	7185
896	61968	7115
897	62048	7047
898	62141	6981
899	62221	6913
900	62288	6844
901	62362	6775
902	62433	6706
903	62502	6637
904	62566	6567
905	62632	6498
906	62699	6428
907	62763	6359
908	62831	6290
909	62897	6220
910	62962	6151
911	63028	6081
912	63089	6011
913	63153	5942
914	63219	5872
915	63280	5802
916	63347	5733
917	63420	5665
918	63485	5595
919	63551	5526
920	63615	5456
921	63689	5388
922	63770	5319
923	63843	5251
924	63906	5181
925	63970	5112
926	64033	5042
927	64096	4973
928	64164	4903
929	64240	4835
930	64314	4766
931	64384	4697
932	64451	4628
933	64522	4559
934	64591	4490
935	64654	4420
936	64723	4351
937	64790	4282
938	64870	4214
939	64937	4144
940	65009	4076
941	65068	4006
942	65131	3936
943	65199	3867
944	65266	3798
945	65335	3729
946	65399	3660
947	65471	3591
948	65533	3521
949	65597	3452
950	65665	3383
951	65730	3314
952	65798	3245
953	65864	3175
954	65948	3107
955	66052	3040
956	66137	2971
957	66199	2902
958	66265	2833
959	66333	2763
960	66400	2694
961	66465	2625
962	66527	2556
963	66590	2486
964	66652	2417
965	66714	2348
966	66778	2278
967	66844	2209
968	66909	2140
969	66979	2071
970	67042	2002
971	67112	1933
972	67187	1864
973	67257	1795
974	67320	1726
975	67392	1657
976	67462	1588
977	67531	1519
978	67601	1450
979	67666	1380
980	67729	1311
981	67795	1242
982	67863	1173
983	67933	1104
984	68005	1035
985	68069	966
986	68137	897
987	68200	828
988	68274	759
989	68343	690
990	68411	621
991	68482	552
992	68552	483
993	68627	414
994	68698	345
995	68761	276
996	68833	207
997	68905	138
998	68977	69
999	69043	0
